        # step       J       T       B             H             M           chi
         23700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         24900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         25900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         26900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         27900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28200     1.0     1.0     2.0   -142.000000      0.960000      0.078400
         28300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         28900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         29900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         30900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31400     1.0     1.0     2.0   -142.000000      0.960000      0.078400
         31500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         31900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         32900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         33900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         34900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
